movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
bench,chest,hypertension,5,12,42%,REVIEW,Barbell Bench Press - Medium Grip | Barbell Guillotine Bench Press | Decline Barbell Bench Press,Bench Press - With Bands | Decline Dumbbell Bench Press | Dumbbell Bench Press | Dumbbell Bench Press With Neutral Grip ,,,,
(push_h),triceps,heart_disease,3,11,27%,REVIEW,Floor Press | Floor Press With Chains | One Arm Floor Press,Bench Dips | Close-Grip Push-Up Off Of A Dumbbell | Dip Machine | Dumbbell Floor Press | Incline Push-Up Close-Grip | Pa,,,,
(push_h),triceps,hypertension,3,11,27%,REVIEW,Floor Press | Floor Press With Chains | One Arm Floor Press,Bench Dips | Close-Grip Push-Up Off Of A Dumbbell | Dip Machine | Dumbbell Floor Press | Incline Push-Up Close-Grip | Pa,,,,
good_morning,legs,heart_disease,4,10,40%,REVIEW,Good Morning | Good Morning Off Pins | Hanging Bar Good Morning,Band Good Morning | Band Good Morning (Pull Through) | Hyperextensions (Back Extensions) | Hyperextensions With No Hyper,,,,
good_morning,legs,hypertension,4,10,40%,REVIEW,Good Morning | Good Morning Off Pins | Hanging Bar Good Morning,Band Good Morning | Band Good Morning (Pull Through) | Hyperextensions (Back Extensions) | Hyperextensions With No Hyper,,,,
pulldown,back,rotator_cuff,7,10,70%,REVIEW,Close-Grip Front Lat Pulldown | Full Range-Of-Motion Lat Pulldown | Rocky Pull-Ups/Pulldowns,One Arm Lat Pulldown | Rope Straight-Arm Pulldown | Straight-Arm Pulldown,,,,
(isolation),triceps,elbow_injury,2,9,22%,REVIEW,Body-Up | Chain Handle Extension,Board Press | Close-Grip Dumbbell Press | Close-Grip Ez-Bar Press | Jm Press | Pin Presses | Supine Chest Throw | Tate P,,,,
(isolation),triceps,heart_disease,4,9,44%,REVIEW,Board Press | Close-Grip Ez-Bar Press | Jm Press,Body-Up | Chain Handle Extension | Close-Grip Dumbbell Press | Supine Chest Throw | Tate Press,,,,
(isolation),triceps,hypertension,4,9,44%,REVIEW,Board Press | Close-Grip Ez-Bar Press | Jm Press,Body-Up | Chain Handle Extension | Close-Grip Dumbbell Press | Supine Chest Throw | Tate Press,,,,
(isolation),triceps,rotator_cuff,7,9,78%,REVIEW,Board Press | Close-Grip Dumbbell Press | Close-Grip Ez-Bar Press,Body-Up | Chain Handle Extension,,,,
(isolation),triceps,shoulder_injury,7,9,78%,REVIEW,Board Press | Close-Grip Dumbbell Press | Close-Grip Ez-Bar Press,Body-Up | Chain Handle Extension,,,,
