movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
overhead_press,shoulders,shoulder_injury,22,22,100%,,Alternating Cable Shoulder Press | Arnold Dumbbell Press | Barbell Shoulder Press,,,,,
(isolation),chest,bad_knee,1,21,5%,,Forward Drag With Press,Around The Worlds | Behind Head Chest Stretch | Chain Press | Chest And Front Of Shoulder Stretch | Chest Push From 3 Po,,,,
(isolation),chest,knee_replacement,1,21,5%,,Forward Drag With Press,Around The Worlds | Behind Head Chest Stretch | Chain Press | Chest And Front Of Shoulder Stretch | Chest Push From 3 Po,,,,
(isolation),chest,rotator_cuff,19,21,90%,,Around The Worlds | Behind Head Chest Stretch | Chain Press,Chest Stretch On Stability Ball | Dynamic Chest Stretch,,,,
(isolation),chest,shoulder_injury,21,21,100%,,Around The Worlds | Behind Head Chest Stretch | Chain Press,,,,,
calf_raise,legs,herniated_disc,1,19,5%,,Seated Calf Stretch,Barbell Seated Calf Raise | Calf Press | Calf Raise On A Dumbbell | Calf Raises - With Bands | Calf Stretch Elbows Again,,,,
calf_raise,legs,osteoporosis,1,19,5%,,Seated Calf Stretch,Barbell Seated Calf Raise | Calf Press | Calf Raise On A Dumbbell | Calf Raises - With Bands | Calf Stretch Elbows Again,,,,
(isolation),cardio,ankle_injury,2,17,12%,,Jump Rope | Jumping Jacks,Treadmill Running | Stationary Bike | Burpee | Mountain Climbers | High Knees | Elliptical Trainer | Swimming (Freestyle,,,,
(isolation),cardio,bad_ankle,1,17,6%,,Dance Aerobics / Zumba-style,Treadmill Running | Stationary Bike | Jump Rope | Burpee | Mountain Climbers | High Knees | Elliptical Trainer | Swimmin,,,,
(isolation),cardio,elbow_injury,1,17,6%,,Battle Ropes,Treadmill Running | Stationary Bike | Jump Rope | Burpee | Mountain Climbers | High Knees | Elliptical Trainer | Swimmin,,,,
(isolation),cardio,shin_splints,2,17,12%,,Treadmill Running | Sprint Intervals (HIIT),Stationary Bike | Jump Rope | Burpee | Mountain Climbers | High Knees | Elliptical Trainer | Swimming (Freestyle) | Jump,,,,
(isolation),cardio,wrist_injury,1,17,6%,,Mountain Climbers,Treadmill Running | Stationary Bike | Jump Rope | Burpee | High Knees | Elliptical Trainer | Swimming (Freestyle) | Jump,,,,
(isolation),full_body,heart_disease,1,16,6%,,Wrist Rotations With Straight Bar,Chin To Chest Stretch | Dumbbell Lying Pronation | Dumbbell Lying Supination | Isometric Neck Exercise - Front And Back ,,,,
(isolation),full_body,hypertension,1,16,6%,,Wrist Rotations With Straight Bar,Chin To Chest Stretch | Dumbbell Lying Pronation | Dumbbell Lying Supination | Isometric Neck Exercise - Front And Back ,,,,
(isolation),full_body,rotator_cuff,1,16,6%,,Wrist Roller,Chin To Chest Stretch | Dumbbell Lying Pronation | Dumbbell Lying Supination | Isometric Neck Exercise - Front And Back ,,,,
(isolation),full_body,shoulder_injury,1,16,6%,,Wrist Roller,Chin To Chest Stretch | Dumbbell Lying Pronation | Dumbbell Lying Supination | Isometric Neck Exercise - Front And Back ,,,,
fly,chest,heart_disease,1,13,8%,,Bodyweight Flyes,Butterfly | Cable Crossover | Cable Iron Cross | Decline Dumbbell Flyes | Dumbbell Flyes | Flat Bench Cable Flyes | Incl,,,,
fly,chest,hypertension,1,13,8%,,Bodyweight Flyes,Butterfly | Cable Crossover | Cable Iron Cross | Decline Dumbbell Flyes | Dumbbell Flyes | Flat Bench Cable Flyes | Incl,,,,
fly,chest,rotator_cuff,13,13,100%,,Bodyweight Flyes | Butterfly | Cable Crossover,,,,,
fly,chest,shoulder_injury,13,13,100%,,Bodyweight Flyes | Butterfly | Cable Crossover,,,,,
lunge,legs,bad_knee,13,13,100%,,Barbell Lunge | Barbell Side Split Squat | Barbell Walking Lunge,,,,,
lunge,legs,herniated_disc,1,13,8%,,Barbell Side Split Squat,Barbell Lunge | Barbell Walking Lunge | Bodyweight Walking Lunge | Dumbbell Lunges | Dumbbell Rear Lunge | Elevated Back,,,,
lunge,legs,knee_replacement,13,13,100%,,Barbell Lunge | Barbell Side Split Squat | Barbell Walking Lunge,,,,,
lunge,legs,osteoporosis,1,13,8%,,Barbell Side Split Squat,Barbell Lunge | Barbell Walking Lunge | Bodyweight Walking Lunge | Dumbbell Lunges | Dumbbell Rear Lunge | Elevated Back,,,,
bench,chest,rotator_cuff,12,12,100%,,Barbell Bench Press - Medium Grip | Barbell Guillotine Bench Press | Bench Press - With Bands,,,,,
bench,chest,shoulder_injury,12,12,100%,,Barbell Bench Press - Medium Grip | Barbell Guillotine Bench Press | Bench Press - With Bands,,,,,
(push_h),triceps,rotator_cuff,11,11,100%,,Bench Dips | Close-Grip Push-Up Off Of A Dumbbell | Dip Machine,,,,,
(push_h),triceps,shoulder_injury,11,11,100%,,Bench Dips | Close-Grip Push-Up Off Of A Dumbbell | Dip Machine,,,,,
lateral_raise,shoulders,rotator_cuff,11,11,100%,,Alternating Deltoid Raise | Cable Seated Lateral Raise | Dumbbell Lying One-Arm Rear Lateral Raise,,,,,
lateral_raise,shoulders,shoulder_injury,11,11,100%,,Alternating Deltoid Raise | Cable Seated Lateral Raise | Dumbbell Lying One-Arm Rear Lateral Raise,,,,,
good_morning,legs,bad_knee,9,10,90%,,Band Good Morning | Band Good Morning (Pull Through) | Good Morning,Seated Good Mornings,,,,
good_morning,legs,herniated_disc,9,10,90%,,Band Good Morning | Band Good Morning (Pull Through) | Good Morning,Reverse Hyperextension,,,,
good_morning,legs,knee_replacement,9,10,90%,,Band Good Morning | Band Good Morning (Pull Through) | Good Morning,Seated Good Mornings,,,,
good_morning,legs,osteoporosis,9,10,90%,,Band Good Morning | Band Good Morning (Pull Through) | Good Morning,Reverse Hyperextension,,,,
pulldown,back,shoulder_injury,10,10,100%,,Close-Grip Front Lat Pulldown | Full Range-Of-Motion Lat Pulldown | One Arm Lat Pulldown,,,,,
(pull_v),back,shoulder_injury,8,8,100%,,Band Assisted Pull-Up | Chin-Up | One Arm Chin-Up,,,,,
deadlift,shoulders,bad_knee,6,7,86%,,Clean And Jerk | Clean And Press | Double Kettlebell Snatch,One-Arm Kettlebell Clean And Jerk,,,,
deadlift,shoulders,knee_replacement,6,7,86%,,Clean And Jerk | Clean And Press | Double Kettlebell Snatch,One-Arm Kettlebell Clean And Jerk,,,,
deadlift,shoulders,rotator_cuff,7,7,100%,,Clean And Jerk | Clean And Press | Double Kettlebell Snatch,,,,,
deadlift,shoulders,shoulder_injury,7,7,100%,,Clean And Jerk | Clean And Press | Double Kettlebell Snatch,,,,,
fly,shoulders,bad_knee,1,7,14%,,Iron Cross,Back Flyes - With Bands | Cable Rear Delt Fly | Reverse Flyes | Reverse Flyes With External Rotation | Reverse Machine F,,,,
fly,shoulders,herniated_disc,1,7,14%,,Iron Cross,Back Flyes - With Bands | Cable Rear Delt Fly | Reverse Flyes | Reverse Flyes With External Rotation | Reverse Machine F,,,,
fly,shoulders,knee_replacement,1,7,14%,,Iron Cross,Back Flyes - With Bands | Cable Rear Delt Fly | Reverse Flyes | Reverse Flyes With External Rotation | Reverse Machine F,,,,
fly,shoulders,osteoporosis,1,7,14%,,Iron Cross,Back Flyes - With Bands | Cable Rear Delt Fly | Reverse Flyes | Reverse Flyes With External Rotation | Reverse Machine F,,,,
fly,shoulders,rotator_cuff,7,7,100%,,Back Flyes - With Bands | Cable Rear Delt Fly | Iron Cross,,,,,
fly,shoulders,shoulder_injury,7,7,100%,,Back Flyes - With Bands | Cable Rear Delt Fly | Iron Cross,,,,,
incline_press,chest,heart_disease,1,7,14%,,Barbell Incline Bench Press - Medium Grip,Hammer Grip Incline Db Bench Press | Incline Cable Chest Press | Incline Dumbbell Bench With Palms Facing In | Incline D,,,,
incline_press,chest,hypertension,1,7,14%,,Barbell Incline Bench Press - Medium Grip,Hammer Grip Incline Db Bench Press | Incline Cable Chest Press | Incline Dumbbell Bench With Palms Facing In | Incline D,,,,
incline_press,chest,rotator_cuff,7,7,100%,,Barbell Incline Bench Press - Medium Grip | Hammer Grip Incline Db Bench Press | Incline Cable Chest Press,,,,,
incline_press,chest,shoulder_injury,7,7,100%,,Barbell Incline Bench Press - Medium Grip | Hammer Grip Incline Db Bench Press | Incline Cable Chest Press,,,,,
shrug,back,rotator_cuff,1,7,14%,,Smith Machine Behind The Back Shrug,Barbell Shrug | Barbell Shrug Behind The Back | Cable Shrugs | Dumbbell Shrug | Leverage Shrug | Middle Back Shrug,,,,
shrug,back,shoulder_injury,1,7,14%,,Smith Machine Behind The Back Shrug,Barbell Shrug | Barbell Shrug Behind The Back | Cable Shrugs | Dumbbell Shrug | Leverage Shrug | Middle Back Shrug,,,,
bench,triceps,rotator_cuff,6,6,100%,,Bench Press - Powerlifting | Bench Press With Chains | Close-Grip Barbell Bench Press,,,,,
bench,triceps,shoulder_injury,6,6,100%,,Bench Press - Powerlifting | Bench Press With Chains | Close-Grip Barbell Bench Press,,,,,
front_raise,shoulders,rotator_cuff,6,6,100%,,Dumbbell Raise | Front Dumbbell Raise | Front Incline Dumbbell Raise,,,,,
front_raise,shoulders,shoulder_injury,6,6,100%,,Dumbbell Raise | Front Dumbbell Raise | Front Incline Dumbbell Raise,,,,,
leg_curl,legs,bad_knee,5,5,100%,,Ball Leg Curl | Lying Leg Curls | Seated Band Hamstring Curl,,,,,
leg_curl,legs,knee_replacement,5,5,100%,,Ball Leg Curl | Lying Leg Curls | Seated Band Hamstring Curl,,,,,
chest_press,chest,rotator_cuff,4,4,100%,,Cable Chest Press | Leverage Chest Press | Leverage Decline Chest Press,,,,,
chest_press,chest,shoulder_injury,4,4,100%,,Cable Chest Press | Leverage Chest Press | Leverage Decline Chest Press,,,,,
hack_squat,legs,bad_knee,4,4,100%,,Barbell Hack Squat | Hack Squat | Narrow Stance Hack Squats,,,,,
hack_squat,legs,knee_replacement,4,4,100%,,Barbell Hack Squat | Hack Squat | Narrow Stance Hack Squats,,,,,
hip_thrust,legs,bad_knee,4,4,100%,,Barbell Glute Bridge | Barbell Hip Thrust | Butt Lift (Bridge),,,,,
hip_thrust,legs,knee_replacement,4,4,100%,,Barbell Glute Bridge | Barbell Hip Thrust | Butt Lift (Bridge),,,,,
leg_press,legs,bad_knee,4,4,100%,,Calf Press On The Leg Press Machine | Leg Press | Narrow Stance Leg Press,,,,,
leg_press,legs,knee_replacement,4,4,100%,,Calf Press On The Leg Press Machine | Leg Press | Narrow Stance Leg Press,,,,,
pullover,chest,rotator_cuff,4,4,100%,,Bent-Arm Dumbbell Pullover | Front Raise And Pullover | Straight-Arm Dumbbell Pullover,,,,,
pullover,chest,shoulder_injury,4,4,100%,,Bent-Arm Dumbbell Pullover | Front Raise And Pullover | Straight-Arm Dumbbell Pullover,,,,,
pushdown,triceps,elbow_injury,4,4,100%,,Reverse Grip Triceps Pushdown | Triceps Pushdown | Triceps Pushdown - Rope Attachment,,,,,
rear_delt,shoulders,rotator_cuff,4,4,100%,,Barbell Rear Delt Row | Bent Over Dumbbell Rear Delt Raise With Head On Bench | Lying Rear Delt Raise,,,,,
rear_delt,shoulders,shoulder_injury,4,4,100%,,Barbell Rear Delt Row | Bent Over Dumbbell Rear Delt Raise With Head On Bench | Lying Rear Delt Raise,,,,,
